Temperature,Humidity,Wind Speed,Precipitation,Weather Condition,Severe Weather
18.394742644817974,100.49516577439502,15.48723258753843,123.98919593731044,2,1
17.378777118126106,69.79302188772894,24.967607057354307,169.18844967661494,0,1
23.295377076201387,45.82659540569666,20.41516015800008,166.76720838424694,4,1
33.81218061230167,42.006333922489375,14.968853858505344,270.08354256635414,2,0
8.612677300221332,46.98342626037029,20.034047732701673,107.25960749291313,3,1
1.076586304305082,53.29198715731352,14.577281819584822,77.46777646350164,1,1
15.09505537860887,36.10654101607765,19.802169855652007,153.69279836718803,2,1
18.827895566644656,51.80420438689607,19.34753160097044,127.77955708539018,2,0
20.007998666723594,110.92119808021434,9.327396534745924,168.33574139629303,0,1
23.08512008717193,87.13221239213968,7.162542082575936,121.78328203327885,0,1
17.912189922218815,81.23610380036938,13.149416189883436,164.00291356827722,4,1
23.175394542145437,89.04247711425452,10.237275221433785,170.60236691641975,1,1
3.3725886814698107,52.07846522871348,9.207771885191434,90.70335390663406,0,0
27.26015926602661,35.06351776392234,14.08413565844759,165.3333708023391,2,0
17.622656118225237,100.27253576310632,14.195369810318098,138.44377576350348,3,1
16.700339953214446,36.59373235038794,30.257286811436153,244.24347477302587,0,1
20.97305464729771,59.01262638120487,22.54451883324772,118.53956340365114,2,1
9.05139786607622,32.2451196646479,17.09266150762717,96.0975233295031,0,1
18.165556664061825,19.855409576069654,16.28958524229292,107.66937232031982,0,0
23.969240746661775,84.48432843553302,2.9282224815439584,177.7038681577552,0,1
23.684732660950957,23.79338742726745,12.165925893292963,161.70549674451541,4,0
25.85813687883232,47.99045998345796,21.427016182120564,169.03148186160882,0,0
28.775573332188603,39.51962984553876,21.013119612925706,161.95605225071435,0,0
26.81070507860232,55.15485439858627,13.567651441233243,284.7251073143138,2,0
23.0023580060446,109.82034536080569,7.182439059761259,115.75645750761448,4,1
12.222014848680853,31.09080917418508,16.775774317130544,37.89117119386535,1,1
13.788608991608776,34.91021008668778,24.320971244870623,156.55591902424635,2,0
4.550279207338269,30.300078316795652,25.701787341172817,145.93359314698571,0,1
9.359425179073076,61.806238066379045,24.66125071360418,31.149005195407412,2,1
13.920798125268742,70.2541275827302,16.813382102988726,155.51969607859903,2,1
22.876245453095326,84.5468889305519,14.168547115964774,90.66380181286644,2,1
7.7113669107053635,38.22623892665291,19.05026222056151,102.81482794292427,1,1
10.986502775262066,28.51821318199214,4.590543107742488,93.17701674822987,1,0
24.855722677610252,82.2067736080678,12.656017175083292,144.5638963025274,0,1
